area_type,"area_type(1,2)",location,location (Cityno.),size(1BHK-5BHK),society,society(361000-461000),total_sqft,bathroom,balcony,price
Super built-up  Area,2,Mangammanapalya,26,5,,447133,828,3,3,56
Super built-up  Area,2,Electronic City,27,2,Itelaa ,443859,8376,1,0,23.1
Built-up  Area,1,Whitefield,28,5,,415654,9094,3,0,81
Super built-up  Area,1,Ramagondanahalli,29,3,ViistLa,409750,7759,2,0,48.77
Super built-up  Area,2,Electronic City,30,4,KBityo ,395506,3786,2,0,47
Super built-up  Area,1,Yelahanka,31,2,LedorSa,449825,8739,4,3,186
Super built-up  Area,1,Bisuvanahalli,32,5,Prityel,409356,7521,2,2,35
Super built-up  Area,1,Hebbal,33,1,Mahosya,460436,8843,2,1,123
Super built-up  Area,2,Raja Rajeshwari Nagar,34,2,GrrvaGr,417357,1736,3,0,57.39
Built-up  Area,2,Kasturi Nagar,35,3,Kantsce,431372,4496,3,2,125
Super built-up  Area,1,Kanakpura Road,36,1,PrarePa,439867,5166,2,2,36
Super built-up  Area,2,Electronics City Phase 1,37,2,,425912,3529,2,0,45.5
Super built-up  Area,1,Kundalahalli,38,5,Dieldli,375771,2040,3,2,125
Super built-up  Area,1,Chikkalasandra,39,3,,411032,4125,2,2,56.12
Built-up  Area,1,Uttarahalli,40,4,,388539,2996,2,3,45
Built-up  Area,2,Murugeshpalya,41,4,Gentson,438025,927,2,1,81
Super built-up  Area,2,Sarjapur  Road,42,2,Soini T,452560,4761,3,0,38
Super built-up  Area,2,Ganga Nagar,43,1,Ceove G,448221,6831,1,3,38
Plot  Area,1,Yelahanka,44,3,,439212,5097,1,3,48
Super built-up  Area,1,Kanakpura Road,45,4,Soazak ,444461,1620,2,1,91.79
Plot  Area,2,HSR Layout,46,2,,441884,9843,9,1,200
Super built-up  Area,2,Doddathoguru,47,2,LancyRe,391838,6324,2,3,33
Super built-up  Area,1,Whitefield,48,2,Goted U,449739,4806,2,1,94.82
Plot  Area,1,KR Puram,49,5,,411207,5638,1,2,130
Built-up  Area,2,Himagiri Meadows,50,5,,423967,6588,2,3,36
Super built-up  Area,2,Adarsh Nagar,51,2,Bhncyis,416741,8423,2,3,50
Super built-up  Area,2,Bhoganhalli,52,4,Rosha I,409249,4718,3,3,99
Built-up  Area,2,Whitefield,53,5,Suent V,447296,4005,3,0,91
Super built-up  Area,1,Lakshminarayana Pura,54,3,RothaVa,412913,3854,2,1,75
Super built-up  Area,1,Yelahanka,55,2,NCowsar,384625,2612,2,2,75
Super built-up  Area,1,Begur Road,56,3,Dhalsh ,458957,5146,2,2,44
Built-up  Area,1,Devanahalli,57,1,BrereAt,450171,3773,,1,192
Super built-up  Area,1,Ramakrishnappa Layout,58,3,PeBayle,373647,1273,2,1,185
Plot  Area,2,Murugeshpalya,59,1,,441455,9365,4,1,150
Super built-up  Area,2,Govindaraja Nagar Ward,60,5,,371376,8720,2,1,45
Plot  Area,2,Tharabanahalli,61,2,,418854,1105,3,0,240
Super built-up  Area,2,Ganga Nagar,62,3,Laavevi,404934,4256,2,0,55
Plot  Area,2,Whitefield,63,5,Chranya,411864,4903,5,0,650
Built-up  Area,2,Varthur,64,3,HioraTr,434462,7667,2,2,44
Built-up  Area,2,Bommanahalli,65,3,,362049,7521,8,3,140
Super built-up  Area,2,Doddathoguru,66,5,,407675,8191,2,3,62
Super built-up  Area,1,Gunjur,67,2,BMineis,378026,3418,2,2,43
Super built-up  Area,2,Marathahalli,68,3,,452357,643,2,0,57
Plot  Area,2,Devarachikkanahalli,69,4,,452893,939,7,1,85
Super built-up  Area,1,Kanakpura Road,70,3,,400995,1940,2,0,36.68
Plot  Area,1,Double Road,71,3,,419339,8690,3,3,100
Super built-up  Area,2,Begur Road,72,2,Pruthg ,450356,5303,2,1,80.58
Super built-up  Area,2,Hegde Nagar,73,5,Sonosty,452487,6796,3,3,101
Super built-up  Area,2,Haralur Road,74,3,SNnia E,459560,9002,2,3,70
Super built-up  Area,2,Hennur Road,75,4,Anavi B,420964,8477,3,2,140
Super built-up  Area,2,Kothannur,76,1,,404794,3649,2,2,48.23
Super built-up  Area,2,Kalena Agrahara,77,2,,427337,5068,2,2,40
Built-up  Area,1,Cholanayakanahalli,78,5,Viony H,449082,2712,3,0,205
Built-up  Area,1,Kaval Byrasandra,79,3,,434474,8371,1,0,22
Built-up  Area,2,ISRO Layout,80,2,,395891,9004,6,2,250
Super built-up  Area,2,Kodanda Reddy Layout,81,1,AdentEl,375303,7483,2,3,105
Built-up  Area,2,Hennur Road,82,1,Gollela,432516,2811,,3,224.5
Super built-up  Area,1,Yelahanka,83,4,Niareum,412425,9814,2,3,78
Super built-up  Area,2,Garudachar Palya,84,1,,377836,1627,2,3,60.8
Super built-up  Area,2,EPIP Zone,85,5,SJlynro,405269,1213,5,0,102
Built-up  Area,1,Hegde Nagar,86,1,,381876,3324,7,0,210
Super built-up  Area,1,Kanakpura Road,87,1,,444698,8583,3,0,88
Super built-up  Area,1,Dasanapura,88,3,Tavenew,384852,3141,2,2,37
Super built-up  Area,1,Kasavanhalli,89,4,Srire S,437653,3484,2,1,58.06
Plot  Area,2,Rajaji Nagar,90,1,,434650,6237,6,2,160
Built-up  Area,1,Sanjay nagar,91,4,Saenti ,439669,1027,2,0,70
Super built-up  Area,1,Electronic City,92,3,,452744,2163,2,3,28.88
Super built-up  Area,1, Mysore Highway,93,4,,456357,6261,2,0,70
Plot  Area,1,ISRO Layout,94,5,,453177,9504,4,1,155
Super built-up  Area,1,Thanisandra,95,1,Bhmesy ,436996,4433,2,3,80
Super built-up  Area,2,Domlur,96,3,,418487,7629,3,1,90
Plot  Area,1,Kengeri,97,3,Goardth,459824,772,4,2,245
Super built-up  Area,2,Sarjapura - Attibele Road,98,1,,418436,1958,2,1,48
Built-up  Area,1,Devasthanagalu,99,1,,384177,1393,2,0,65
Built-up  Area,1,T Dasarahalli,100,5,,372282,4983,3,2,90
Super built-up  Area,1,Yeshwanthpur,101,5,IBityin,459166,7014,3,2,138
Built-up  Area,2,Chandapura,102,1,KHityry,373608,9947,1,2,17
Plot  Area,1,Kothanur,103,4,BDensar,412715,5887,2,2,150
Super built-up  Area,1,Green View Layout,104,3,Makeser,421750,8749,2,2,43
Super built-up  Area,2,Shantiniketan Layout,105,4,Maest N,407563,9636,2,2,50
Super built-up  Area,2,Peenya,106,1,,439129,4383,2,0,49.9
Built-up  Area,2,Nagarbhavi,107,2,,408078,3735,2,0,98
Built-up  Area,1,Rajaji Nagar,108,4,Brway G,420297,658,3,1,229
Built-up  Area,2,Jalahalli West,109,4,,456367,637,2,0,55.68
Super built-up  Area,2,Devanahalli,110,4,Oznuean,445181,6033,2,2,66.78
Super built-up  Area,1,Lakshmiamma Garden,111,4,,380219,3890,3,0,120
Super built-up  Area,2,Byatarayanapura,112,4,Reeroce,382089,8044,2,3,75
Super built-up  Area,2,Whitefield,113,1,Sonviik,386888,6911,2,2,51.91
Super built-up  Area,1,Electronic City,114,5,DSgmax ,372575,720,2,3,45.9
Built-up  Area,1,Ramamurthy Nagar,115,3,,450007,841,4,1,225
Built-up  Area,2,Sarjapur  Road,116,4,Cetattu,454070,8829,3,1,140
Super built-up  Area,1,Kengeri,117,1,Vaens G,394351,1279,2,0,64
Super built-up  Area,2,Thanisandra,118,2,,401449,9272,3,2,74.75
Super built-up  Area,2,Malleshwaram,119,5,,390409,5368,2,0,75
Plot  Area,2,Hennur Road,120,1,,439359,6103,3,2,23
Super built-up  Area,1,Thanisandra,121,5,Moity S,415616,8299,3,1,120
Super built-up  Area,1,Akshaya Nagar,122,5,HiahsLa,375553,2391,3,0,200
Super built-up  Area,1,Hebbal,123,5,SNontle,372352,3505,4,0,477
Built-up  Area,1,Shampura,124,1,,417080,9601,4,2,150
Super built-up  Area,2,Devanahalli,125,4,Sabixtt,429075,8716,2,2,68.52
Built-up  Area,1,Kadugodi,126,2,,395373,4704,2,2,34
Built-up  Area,2,LB Shastri Nagar,127,1,Sragei ,387232,3233,3,2,65
Super built-up  Area,2,Vajarahalli,128,2,,385438,1472,2,2,54
Super built-up  Area,2,Hormavu,129,5,SyidaCr,409743,1134,2,1,78
Plot  Area,1,Vishwapriya Layout,130,4,,375409,2415,7,1,115
Built-up  Area,2,Peenya,131,2,Jahts H,430451,1781,3,2,110
Plot  Area,2,Sarjapur,132,4,Inensba,397606,3786,3,3,75
Super built-up  Area,1,Electronic City,133,2,Itelaa ,455334,2647,1,1,16.5
Plot  Area,1,Ramaswamy Palya - Kammanahalli Main Road,134,4,,433253,5079,4,3,210
Super built-up  Area,2,Kudlu Gate,135,2,Srier P,400616,6582,3,2,83
Built-up  Area,2,Kanakpura Road,136,1,Wiowsri,423002,781,2,3,57
Super built-up  Area,1,Devanahalli,137,1,Derdsig,387997,719,2,1,65
Super built-up  Area,2,8th Phase JP Nagar,138,3,Vaarech,370727,5332,2,3,54.005
Super built-up  Area,2,Bommasandra Industrial Area,139,1,,402944,9540,3,1,50.4
Super built-up  Area,2,Chandra Layout,140,3,TiaksAa,454033,3641,2,0,85.05
Built-up  Area,2,Hennur Road,141,4,,429512,9043,8,1,250
Super built-up  Area,2,Yelahanka,142,3,LedorSa,409114,8039,5,0,213
Super built-up  Area,1,Kasavanhalli,143,4,HMwerCo,429343,5302,3,2,105
Super built-up  Area,1,ISRO Layout,144,4,,448253,1341,2,2,60
Super built-up  Area,2,Anandapura,145,3,ViensRK,405419,1597,2,0,43.76
Super built-up  Area,2,Vishveshwarya Layout,146,1,,396053,3579,7,1,225
Super built-up  Area,2,Kothanur,147,3,Somumys,412265,4168,3,0,110
Super built-up  Area,1,Kengeri Satellite Town,148,2,HoiewLa,381995,8898,2,2,35
Super built-up  Area,1,Basavanapura,149,4,Dwity T,430879,6584,3,0,46.74
Plot  Area,2,Dinnur,150,2,,437582,3695,5,0,185
Super built-up  Area,2,Mysore Road,151,1,Brama P,407460,3938,4,3,91.31
Super built-up  Area,2,Kannamangala,152,1,VBownre,381868,3221,2,2,58
Super built-up  Area,2, Devarachikkanahalli,153,2,,408487,2064,2,0,44
Super built-up  Area,1,Sanjeevini Nagar,154,3,Betatsi,431407,9218,4,0,235
Super built-up  Area,1,Hulimavu,155,1,Prcan P,417337,2868,2,0,50
Super built-up  Area,2,Electronic City Phase II,156,1,Sryalan,435774,8420,2,0,30.6
Super built-up  Area,2,Kalena Agrahara,157,2,,417325,662,2,2,50
Super built-up  Area,2,Thanisandra,158,4,Soitya ,382645,5926,3,2,135
Super built-up  Area,2,Thanisandra,159,4,G conTh,441293,5669,3,2,145
Plot  Area,2,Mahalakshmi Layout,160,1,,441563,3396,4,0,760
Built-up  Area,2,Yarandahalli,161,1,,455896,7853,2,0,48
Super built-up  Area,2,Hosa Road,162,5,SStusan,439420,6008,2,0,32
Super built-up  Area,1,Keshava Nagar,163,3,ETens G,449496,6827,3,3,150
Built-up  Area,2,Whitefield,164,5,,409182,4988,4,3,420
Super built-up  Area,2,RMV Extension,165,5,Hohnari,408903,9325,3,3,175
Super built-up  Area,2,Sarjapur,166,3,Kinuerg,418643,2730,2,3,43.49
Super built-up  Area,1,Tejaswini Nagar,167,1,Naods W,458380,1526,2,0,75
Super built-up  Area,2,Electronic City,168,4,GMown E,387703,5138,2,3,64.5
Built-up  Area,1,Electronic City,169,5,GMown E,402931,6422,2,1,60
Built-up  Area,2,Jai Bheema Nagar,170,4,Sancyra,428568,2405,2,3,70
Super built-up  Area,2,Kothnur Narayanapura,171,1,,419289,8823,6,1,99
Super built-up  Area,1,Attibele,172,4,Jae 1hu,387628,3894,1,0,11
Super built-up  Area,2,Electronic City,173,5,Prarkun,371382,9010,2,0,64.5
Super built-up  Area,2,Electronic City,174,1,GMown E,367282,5238,2,3,56
Super built-up  Area,1,CV Raman Nagar,175,3,Srshq T,370448,7031,3,0,65
Plot  Area,2,CHIKKATIRUPATHI,176,3,,420249,7406,3,0,100
Plot  Area,1,Kumaraswami Layout,177,4,,458847,2092,3,1,85
Plot  Area,1,Nagavara,178,5,,437984,950,1,1,14
Super built-up  Area,1,Malleshwaram,179,1,Utntspa,411315,9247,1,1,67
Built-up  Area,2,Electronic City,180,3,GMown E,384108,6321,1,3,36
Super built-up  Area,2,Hulimavu,181,3,Aniona ,385494,2984,2,1,51
Super built-up  Area,2,Hebbal Kempapura,182,2,Goateds,409966,1449,3,0,155
Super built-up  Area,2,Thanisandra,183,1,Soitya ,458592,7789,3,3,145
Super built-up  Area,1,Vijayanagar,184,3,Saahaat,404007,6100,3,3,110
Super built-up  Area,2,Electronic City,185,5,GMown E,402285,728,2,2,52
Plot  Area,2,8th block Koramangala,186,4,,411726,8566,3,3,300
Super built-up  Area,2,Jakkuru Layout,187,5,,372424,1202,2,3,55.7
Built-up  Area,1,Electronic City,188,5,GMown E,438931,6570,2,0,46
Super built-up  Area,1,KR Puram,189,2,MCvarar,368754,7080,2,2,56.8
Super built-up  Area,1,Marathahalli,190,4,VRave E,419124,2627,2,1,52
Built-up  Area,1,Kanakpura Road,191,2,,368872,7794,4,3,110
Super built-up  Area,1,Pattandur Agrahara,192,1,MaidoPl,439512,663,2,3,80
Plot  Area,1,Bellandur,193,5,,389309,5670,5,1,325
Plot  Area,1,Ejipura,194,5,,416468,9965,7,2,250
Super built-up  Area,1,Marathahalli,195,1,Aiitya ,405526,5665,2,3,60
Super built-up  Area,2,Yelahanka,196,3,PuziaVe,420299,3577,2,3,98
Super built-up  Area,1,Kothanur,197,2,,439418,7081,2,0,58
Built-up  Area,1,MS Pallya,198,5,,430621,2289,3,1,115
Super built-up  Area,2,HSR Layout,199,3,NRosete,395790,4150,3,0,56
Super built-up  Area,2,Nagasandra,200,2,,429049,5634,2,0,48
Super built-up  Area,1,EPIP Zone,201,5,,447081,3539,2,0,82
Super built-up  Area,2,Langford Town,202,3,,385899,3229,2,3,70
Built-up  Area,2,Whitefield,203,4,Sancya ,436956,4468,2,1,47.6
Super built-up  Area,2,Whitefield,204,1,,432927,6050,2,3,53
Built-up  Area,1,Kadugodi,205,1,MSingco,393703,5572,2,3,54
Super built-up  Area,1,Yelahanka,206,5,Pyikad ,396980,6589,2,3,48.7
Super built-up  Area,2,Kogilu,207,5,CaIRSCr,404242,618,3,2,88
Super built-up  Area,2,Panathur,208,3,Prcesvy,396816,6692,2,0,87
Built-up  Area,1,Nagondanahalli,209,1,,418395,6215,2,2,43.5
Plot  Area,2,Padmanabhanagar,210,2,,411698,1163,6,2,190
Super built-up  Area,2,1st Block Jayanagar,211,1,,425338,1741,4,2,428
Super built-up  Area,1,Kammasandra,212,3,Emstael,384257,8917,3,3,65
Built-up  Area,2,"Off Sarjapur Road, ",213,4,,450931,5497,3,1,89
Super built-up  Area,1,Electronics City Phase 1,214,2,SNdri N,439140,7680,3,2,78.29
Super built-up  Area,1,Tala Cauvery Layout,215,3,HodhiSa,366500,9120,3,1,100
Super built-up  Area,1,Dasarahalli,216,1,Syonyph,389365,6424,2,2,65
Built-up  Area,1,Magadi Road,217,5,,396200,4788,6,3,141
Super built-up  Area,1,Electronic City,218,3,Itvir M,419821,6384,1,0,27
Super built-up  Area,1,Ngef Layout,219,1,,401823,4957,3,1,78
Super built-up  Area,1,Sarjapur  Road,220,4,Klark L,381297,5001,3,3,98.29
Super built-up  Area,2,Sarjapur  Road,221,3,Klark L,456396,1830,3,0,125
Super built-up  Area,2,Koramangala,222,3,Piityra,459197,2236,2,0,90
Built-up  Area,1,"Lakshminarayanapura, Electronic City Phase 2",223,4,,393005,6341,4,1,75.5
Super built-up  Area,1,Sarjapur  Road,224,1,AsastDe,432178,6783,2,0,44.28
Super built-up  Area,2,Devanahalli,225,4,Jurdsig,453958,7049,,1,74.82
Super built-up  Area,2,Muthurayya Swamy Layout,226,5,MacleK ,397087,4264,4,0,260
Built-up  Area,1,7th Phase JP Nagar,227,1,Brnia G,447660,5072,2,0,72
Plot  Area,2,Shantiniketan Layout,228,2,,426211,7551,2,3,115
Super built-up  Area,2,Hebbal,229,4,,445521,6601,3,3,119
Super built-up  Area,1,Dommasandra,230,5,,380723,1390,2,0,22.14
Super built-up  Area,2,Budigere,231,1,PrityTr,364298,3608,2,2,56.4
Super built-up  Area,1,Dodda Nekkundi Extension,232,4,AlEcone,396035,6805,2,0,60
Super built-up  Area,2,Mylasandra,233,2,Laowsba,382874,9654,2,3,55
Built-up  Area,1,Electronic City,234,2,Saave R,445541,7120,2,3,42
Super built-up  Area,2,Kalyan nagar,235,5,Anave S,392719,1052,2,2,110
Super built-up  Area,2,Dr Shivarama Karantha Nagar,236,1,,452343,6098,2,0,65
Super built-up  Area,2,Bank Of Baroda Colony,237,2,,416918,6241,2,0,39
Super built-up  Area,2,Vijayanagar,238,3,Saityat,399403,7288,3,2,129
Built-up  Area,1,Ramamurthy Nagar,239,2,,379373,5110,5,3,150
Built-up  Area,1,Kullappa Colony,240,1,,371407,7604,2,2,60
Super built-up  Area,1,Chandapura,241,5,SunceEs,447182,8911,1,3,16.45
Plot  Area,2,Mukkutam Nagar,242,4,,438496,1002,8,0,180
Super built-up  Area,1,Chandapura,243,4,SunceEs,422156,1955,1,1,16.45
Super built-up  Area,1,Ashwath Nagar,244,4,SJcerpe,418227,4018,3,3,84
Super built-up  Area,2,Ncpr Industrial Layout,245,4,Supams ,454460,6545,2,2,72.5
Plot  Area,2,Electronic City,246,5,,413818,622,3,2,90
Super built-up  Area,2,Electronic City,247,4,CoapeSo,449532,3627,2,0,40
Super built-up  Area,2,Kothanur,248,4,Bisic C,428166,4927,3,1,70
Plot  Area,2,Meenakunte,249,3,Sreat R,390537,4294,3,0,280
Super built-up  Area,1,OMBR Layout,250,1,Inntsa ,400642,1935,3,3,185
Super built-up  Area,1,Chandapura,251,4,KHityry,400431,4520,1,3,20
Built-up  Area,1,Anand Nagar,252,1,,431976,5335,2,2,55
Super built-up  Area,2,7th Phase JP Nagar,253,4,BriumMi,458630,886,2,1,93
Super built-up  Area,1,Shree Ananth Nagar Layout,254,2,,435581,510,2,0,22.5
Built-up  Area,2,Kundalahalli Colony,255,2,,423913,7004,2,3,69
Plot  Area,2,Horamavu Agara,256,1,,386697,6073,2,3,95
Built-up  Area,2,Sarjapur  Road,257,2,,367707,8151,2,3,36
Super built-up  Area,2,Electronic City,258,5,Prarkun,433909,2709,2,2,63
Plot  Area,1,MCECHS  layout,259,2,,445538,7021,5,0,170
Super built-up  Area,2,Coffee Board Layout,260,2,Calyxy ,429816,8324,3,1,170
Plot  Area,2,Ambedkar Nagar,261,4,Thessrm,375109,6440,3,2,300
Super built-up  Area,1,Vijayanagar,262,2,JJortom,362380,1773,3,0,75.5
Super built-up  Area,1,Raja Rajeshwari Nagar,263,3,GrrvaGr,369277,7243,2,2,43.9
Super built-up  Area,1,Budigere,264,3,PrityTr,447177,4893,2,0,59.9
Super built-up  Area,1,Sarjapur  Road,265,3,Usquaya,435551,4596,2,3,49.2
Built-up  Area,1,Attibele,266,4,Natic T,433313,5237,4,1,52.8
Super built-up  Area,1,KUDLU MAIN ROAD,267,4,,460495,3179,3,0,46
Super built-up  Area,1,Hennur Road,268,2,DSapeSk,405129,6206,2,1,61.58
Super built-up  Area,1,Geleyara Balaga Layout,269,5,Jahtsa ,435354,9369,1,3,26
Super built-up  Area,1,Kalena Agrahara,270,5,Prillot,384235,5021,3,2,120
Super built-up  Area,1,Sarjapur,271,3,,373974,543,2,3,32
Super built-up  Area,1,Talaghattapura,272,5,Sodgere,423541,9204,3,2,131
Built-up  Area,1,Kengeri Satellite Town,273,1,,436566,1738,2,2,45
Plot  Area,1,Sundara Nagar,274,3,,362734,9984,2,1,110
Super built-up  Area,2,Kogilu,275,4,,414618,662,2,3,73.95
Super built-up  Area,1,Hegde Nagar,276,1,SoitaCa,363691,9870,3,2,132
Super built-up  Area,2,Balagere,277,1,Soestin,453248,6196,2,1,80.9
Plot  Area,1,Meenakunte,278,5,Sreat R,448212,9785,4,3,250
Super built-up  Area,2,Kadugodi,279,1,Alestrb,417870,879,3,0,91.45
Super built-up  Area,1,Jigani,280,4,DLhtsen,384331,7224,3,1,55
Built-up  Area,1,Gollarapalya Hosahalli,281,2,Mauner ,416539,1367,2,3,34.5
Built-up  Area,2,7th Phase JP Nagar,282,5,Brnia G,450664,1809,2,3,100
Plot  Area,2,Srirampura,283,2,,434933,3575,6,2,250
Built-up  Area,2,Electronics City Phase 1,284,1,GaicaVe,417542,9331,3,0,78.8
Super built-up  Area,2,Bisuvanahalli,285,5,,419383,586,2,3,46
Super built-up  Area,1,Old Madras Road,286,1,Saesttt,367155,8432,2,2,94
Built-up  Area,1,Kalena Agrahara,287,2,Nae 2El,400348,6998,2,1,40
Super built-up  Area,2,Kaggadasapura,288,2,,435593,1348,2,1,56
Super built-up  Area,1,Silver Springs Layout,289,5,Bhinglv,434235,7118,2,2,50
Super built-up  Area,1,Chandapura,290,5,SunceEs,380909,7838,2,0,25.88
Super built-up  Area,1,Kanakpura Road,291,2,GolusLi,408433,5848,2,0,51.25
Super built-up  Area,1,Haralur Road,292,4,,411095,9732,2,1,44
Super built-up  Area,2,Electronic City Phase II,293,5,Coush W,446965,8800,2,0,45
Super built-up  Area,1,Hebbal,294,2,Prersis,457135,3644,2,1,98.2
Super built-up  Area,1,9th Phase JP Nagar,295,1,NaensGa,404849,2788,2,1,50
Super built-up  Area,1,Jakkur,296,5,Arzzo P,395356,9320,2,2,75
Plot  Area,1,TC Palaya,297,2,,415876,5154,3,0,98
Carpet  Area,1,Maruthi Sevanagar,298,1,SMikaay,457513,1707,2,0,47
Super built-up  Area,2,RMV 2nd Stage,299,5,Prave E,393368,939,4,3,120
Plot  Area,1,Giri Nagar,300,1,,457133,8549,3,2,140
Super built-up  Area,1,Sarjapur  Road,301,5,Ahriaup,409693,8435,3,3,104
Super built-up  Area,1,Singasandra,302,4,Priewhi,373676,7519,2,1,29.5
Super built-up  Area,1,Kalena Agrahara,303,5,Shodsth,437521,4196,2,3,70
Super built-up  Area,1,Vijayanagar,304,4,Swadeh ,414999,3594,3,0,100
Super built-up  Area,1,Kothanur,305,4,Somumys,398065,9161,3,2,105
Super built-up  Area,2,AECS Layout,306,4,Soran U,424101,945,2,2,45
Super built-up  Area,1,Kanakpura Road,307,3,PrarePa,458180,7545,1,2,26
Super built-up  Area,2,Mallasandra,308,2,Puestig,386761,866,3,0,95
Super built-up  Area,1,Begur,309,1,Prntsrt,380223,6788,4,0,65
Super built-up  Area,1,JP Nagar,310,5,Maerar ,411997,1462,3,1,150
Super built-up  Area,1,Panathur,311,1,Vaesh T,408839,5079,2,1,100
Super built-up  Area,2,Sunder Ram Shetty Nagar,312,2,MaisePa,436165,992,3,3,115
Super built-up  Area,2,Yelahanka,313,5,,449900,6824,2,0,55.55
Super built-up  Area,2,Kanakpura Road,314,1,JRrnauv,440800,5442,3,0,67
Super built-up  Area,1,Malleshpalya,315,2,,377914,1410,2,1,46.5
Plot  Area,2,Srirampura,316,1,,364426,8648,5,2,180
Super built-up  Area,2,Kodathi,317,2,,404528,1576,2,3,27
Super built-up  Area,1,Whitefield,318,3,Gotis A,364913,6309,2,0,75
Built-up  Area,2,Munnekollal,319,1,,392964,5408,2,1,52
Super built-up  Area,2,Motappa Layout,320,2,Puodse ,368554,6778,2,0,51
Super built-up  Area,2,Hennur Road,321,3,Mileeou,407968,2243,2,1,83.09
Super built-up  Area,2,Electronic City,322,5,Prarkun,402345,2083,2,0,65
Plot  Area,1,Marathahalli,323,3,,381858,4660,2,2,128
Plot  Area,2,Akshaya Vana,324,3,,439846,7584,4,0,165
Super built-up  Area,2,Rajaji Nagar,325,3,PhestOn,440817,4632,3,0,415
Plot  Area,2,Giri Nagar,326,5,,388880,6908,4,3,400
Super built-up  Area,1,Haralur Road,327,5,NRowse ,403037,6767,3,3,56
Super built-up  Area,1,Manayata Tech Park,328,5,,436696,1459,2,0,55
Super built-up  Area,1,Kaval Byrasandra,329,2,Abncy R,365652,6415,2,3,52
Super built-up  Area,1,Kaggalipura,330,2,Baowsig,414131,4466,2,0,55
Built-up  Area,2,Basavanna Nagar,331,3,Itala A,431235,3198,3,1,95
Super built-up  Area,2,Sarjapur  Road,332,3,,436739,4595,2,3,67
Plot  Area,2,Haralur Road,333,3,,373077,5704,4,2,198
Super built-up  Area,2,6th Phase JP Nagar,334,1,HMinebo,438790,1673,2,3,74
Super built-up  Area,1,Ulsoor,335,2,K borja,401072,501,3,0,215
Super built-up  Area,1,Whitefield,336,2,Oreldhi,395658,1198,2,1,58
Built-up  Area,2,Uttarahalli,337,4,Sungspr,364948,7824,2,1,45
Super built-up  Area,1,Thigalarapalya,338,3,Prtanha,368770,4985,6,2,230
Super built-up  Area,1,Somasundara Palya,339,3,,452434,7954,3,1,64
Plot  Area,1,T.C PALYA,340,1,,389382,1445,2,1,79
Carpet  Area,1,Muneshwara Nagar,341,5,,436456,8157,2,2,48
Super built-up  Area,1, Devarachikkanahalli,342,5,Clntsrt,412783,4354,2,0,40
Super built-up  Area,1,Kalena Agrahara,343,3,PuamaPa,368128,9065,2,0,76
Built-up  Area,1,7th Phase JP Nagar,344,2,Brngsal,450222,4114,3,0,150
Super built-up  Area,1,Kanakpura Road,345,4,PrarePa,410290,6939,,3,21.53
Super built-up  Area,2,Basaveshwara Nagar,346,3,,431894,4381,2,2,65
Plot  Area,1,Bull Temple Road,347,1,,457265,2489,2,1,140
Super built-up  Area,1,Bommasandra,348,1,SSestth,414701,8180,3,1,49.36
Super built-up  Area,1,Prashanth Nagar,349,2,Vancy R,412250,2042,3,2,150
Plot  Area,2,Suragajakkanahalli,350,5,PrhyaK ,370824,4629,3,0,74
